검수ID,범위,주어,관계,목적어,출처파일,draft_rule_id,소스간_불일치_플래그,가이드라인근거_출처,가이드라인근거_요약,근거등급_delirium_kg,근거등급_draft,근거방향지지,지지판단_사유,코호트_nA,코호트_위험비,코호트_위험차_pp,코호트_해석주의,알려진충돌,MIMIC매핑,원문검증상태,권고,권고사유,사람_최종판단
R-11,본검수,PsychoactiveMedication,increasesRiskOf,Delirium,delirium_kg.py,,⚠ delirium_kg.py 에만 있음 (draft 누락),p.19 raw D-033,"중간 근거로 위험 증가: 향정신성 약물 사용(예: 항정신병약, 항경련제).",moderate,—,부분,방향은 명시되나 범위가 모호(벤조·덱스도 향정신성). 항정신병약은 섬망 환자에게 처방되는 역인과 가능.,,,,없음,"개념 중첩: Benzo(R-01, 증가) · Dexmed(R-16, 감소)와 클래스가 겹쳐 모순 공리 생성 위험",미매핑 — prescriptions/inputevents 에서 항정신병약·항경련제 추출 필요,확인,수정,범위를 '항정신병약·항경련제(벤조·덱스 제외)'로 한정하고 투여가 발생보다 앞선 경우만 인정.,
R-12,본검수,DeepSedation (RASS≤−4),increasesRiskOf,Delirium,둘 다,PADIS-D-08,없음 (양쪽 low). 단 근거 논리 자체에 문제,(논리) 2018 얕은 진정 조건부 권고의 '대우' · p.14 raw D-017 (G-002) · 반대 근거 p.14 raw D-016,"D-017: 가이드라인 근거에 포함되지 않은 코호트 연구 1건에서 진정 강도가 용량-의존적으로 섬망 위험을 예측. D-016: 얕은 진정은 섬망 발생 감소와 연관 없음(RR 0.96, low).",low,low,부분,'얕은 진정 권고'의 대우는 논리적으로 성립 안 함. 가이드라인 자체 RCT 풀링(D-016)은 섬망 효과 없음. 지지는 등급 밖 코호트 1건뿐.,"6,677",1.50,+14.9,방향 일치. 단 각성 수준이 CAM-ICU 양성률 자체를 올림(p.21 raw D-048) → 측정 인공물 섞임. 라벨 있는 앵커만 집계.,D-016(얕은 진정 섬망 무효과) · 이중 역할(R-23 평가불능),"가능 — itemid 228096, stage5 사용 중(lookback 시점 분리 필요)",확인,수정,"근거를 D-017(코호트, 등급 밖)로 교체하고 등급을 'cohort'로 표기. '권고의 대우' 논리 삭제.",
R-13,본검수,SedationIntensity,increasesRiskOf,Death,draft json,PADIS-D-09,⚠ draft json 에만 있음. 목적어가 Delirium 아님,p.14 raw D-017 (G-002),가이드라인 근거에 포함되지 않은 코호트 연구 1건: 진정 강도가 사망·섬망·발관 지연을 예측.,—,cohort (가이드라인 등급 밖),Y,"문장이 사망 방향을 직접 진술. 다만 단일 코호트, 가이드라인이 채택한 근거 아님.",,,,"없음 (stage5 는 SedationIntensity→Delirium 만 측정, 부록 X-01)",없음,가능 — 228096 + hospital_expire_flag,확인,보류,섬망 예측 공리가 아니고 가이드라인 등급 밖. 사망 보조과제를 둘 때만 재검토.,
R-14,본검수,PhysicalRestraint,increasesRiskOf,Delirium,draft json,PADIS-D-10,⚠ draft json 에만 있음,p.18 raw D-027 (G-006),"'이러한 사건'으로 계획외 발관, 기구 제거, 초조 증가 등과 함께 섬망·지남력 장애 위험 증가를 나열. 문장 안에 주어(억제대)가 없고 앞 문맥에서 추정.",—,low,부분,주어가 문장 밖(문맥 추정). 관찰 연구 연관 나열이며 등급 진술 아님. draft 의 'low' 는 원문 등급이 아님.,,,,없음,역방향: p.18 raw D-028 이 섬망을 억제대 사용의 관련 인자로 나열(추정) → 인과 방향 불명,"부분 — itemid 확인됨, 값 미추출, stay 보유율 50.1%",부분(주어 문맥),보류,주어 문맥 확인 전이고 역인과가 뚜렷함. PDF p.18 절 제목 확인 후 재검토.,
R-15,본검수,SeverePain (NRS≥4),increasesRiskOf,Delirium,draft json,PADIS-D-11,⚠ draft json 에만 있음. 그런데 stage5 AXIOMS 에 이미 들어가 있음,p.9 raw D-014 (G-015),"아편유사제 안전성 우려와 관련된 결과(장폐색, 기계환기 기간, 감염, 섬망, 재원일수)를 신중히 평가해야 한다는 서술.",—,inconclusive,N,문장은 '아편유사제 안전성'에 관한 것이며 통증→섬망 방향을 진술하지 않음.,"25,618",0.37,−23.1,데이터 반대 방향. NRS 점수는 의사소통 가능한 환자에게서만 기록되는 선택 편향(섬망·진정 환자 제외).,"간접: OpioidUse 무영향(R-21, strong)","가능 — 통증 NRS itemid, stage5 사용 중(draft mimic_ready=false 는 갱신 안 됨)",확인(불지지),보류,인용 문장이 규칙을 지지하지 않음. 원문 근거 확보 전까지 공리에서 제외(삭제 권장).,
R-16,본검수,Dexmedetomidine,decreasesRiskOf,Delirium,둘 다,PADIS-D-12,"관계·등급 일치. 단 draft 인용문(2018 SEDCOM, 비교군 미다졸람)이 주장(2025, 비교군 프로포폴)과 비교군이 다름",2025 Focused Update(repo 에 원문 없음) · p.16 raw D-022/D-023/D-024/D-025 · p.21 raw D-052 (fs D-049) · p.21 raw D-054 (fs D-051) · p.22 raw D-056 · p.23 raw D-072 (fs D-056),"2018 근거: SEDCOM 은 벤조 대비 섬망 RR 0.71, PRODEX 는 프로포폴 대비 48h 시점 섬망 감소, 그러나 풀링·MIDEX 는 유의 효과 없음. 2018 권고는 모든 성인에서 섬망 '예방' 목적 덱스 사용을 제안하지 않음. 2025 는 프로포폴 대비 덱스(조건부/중등도)로 팀 문서에 기재.",moderate,moderate,부분,근거는 모두 비교형(벤조 또는 프로포폴 대비)이며 절대 효과가 아님. 예방 목적 권고는 반대(D-052).,"8,061",0.60 (¬섬망 기준),−28.2 (¬섬망 기준),데이터 반대: 섬망 56.9% vs 28.8%(조RR≈1.98). 초조·섬망 환자에게 투여되는 적응증 교란(D-072 권고 자체가 섬망 환자 대상). 가이드라인 오류 근거 아님.,FEWSHOT_CHECK §3: D-052 예방 목적 비권고 vs D-054 수술 후 저용량 발생 감소,"가능 — itemid 225150/229420, stage5 사용 중",부분(2025 미확보),수정,'프로포폴(또는 벤조) 대비' 비교형 쌍 제약으로 재표현하고 모집단(기계환기 진정)을 한정. 2025 원문 대조 필요.,
R-17,본검수,EnhancedMobilization,decreasesRiskOf,Delirium,둘 다,PADIS-D-13,관계·등급 일치. 개념명 불일치: KG/draft 'EnhancedMobilization' vs concepts·stage5 'EarlyMobility',"2025 Focused Update(repo 에 원문 없음) · p.24 raw D-076 (G-014, fs D-060)","2025: 강화된 재활은 섬망 '기간'을 소폭 줄임(조건부/낮음, 팀 문서 기준). 2018 인용문은 ABCDEF 번들 준수율이 사망 감소·혼수/섬망 없는 ICU 일수 증가와 연관된다는 전후비교 코호트.",low,low,부분,결과 변수가 발생이 아니라 기간/일수. 2018 인용은 재활 단독이 아닌 번들. '강화(용량)'와 '조기(시점)'는 다른 중재.,"10,960",1.40 (¬섬망 기준),+26.2 (¬섬망 기준),방향 일치(섬망 7.5% vs 33.7%). 단 JH-HLM 은 '달성한 이동 수준'이라 깨어 있고 덜 아픈 환자만 해당 → 역선택. 중재 강도 아님.,없음,"부분 — JH-HLM/Braden 달성 수준 기록(stage5 사용), 중재 용량 자체는 측정 불가",부분(2025 미확보),수정,결과를 '섬망 기간/일 단위 상태'로 한정하거나 발생 예측에서는 가중치 축소. 개념명 통일.,
R-18,본검수,Melatonin,decreasesRiskOf,Delirium,둘 다,PADIS-D-14,없음 (방향·등급 일치),2025 Focused Update — repo 에 원문·추출 문장 없음,팀 문서 기준: 멜라토닌은 섬망 유병률을 낮출 수 있음(조건부/낮음).,low,low,미검증,repo 안의 어떤 텍스트에서도 멜라토닌 문장을 찾지 못함.,,,,없음,없음,미매핑 — prescriptions 추출 필요,미검증,보류,원문 확인 불가 + 매핑 없음 → 지금은 모델에 넣을 수 없음. 2025 원문 확인 후 승인 가능.,
R-19,본검수,Delirium,increasesRiskOf,Death,draft json,PADIS-D-15,⚠ draft json 에만 있음. 인용 영문장이 repo 원문 어디에도 없음,draft 표기 '2018 섬망 결과 절' — 인용문 미확인 · 관련 문장 p.21 raw D-050/D-051,"D-050/D-051: 빠르게 회복되는 진정 관련 섬망은 섬망 없는 환자와 결과가 비슷했고, 그 밖의 섬망 환자는 결과가 더 나빴음(관찰 연구 1건).",—,strong,부분,관련 서술은 있으나 draft 인용문은 원문으로 확인 안 됨. PADIS 가 이 방향에 'strong' 등급을 준 근거를 찾지 못함.,,,,없음,D-050: 진정 관련 섬망은 결과 차이 없음 → 섬망 아형에 따라 방향이 다름,가능 — hospital_expire_flag,미검증(인용 불일치),보류,섬망 예측 공리가 아님(섬망이 주어). 인용 교정·등급 근거 확인 전까지 제외.,
R-20,본검수,MechanicalVentilation,hasNoEffectOn,Delirium,둘 다,PADIS-N-01,현재 일치. v1 에서 increasesRiskOf 로 반대였던 이력(_v1_corrections),p.19 raw D-032,성별·아편유사제 사용·기계환기는 섬망 발생 위험을 바꾸지 않는다고 강하게 입증됨.,strong,strong,Y,"명시적 무영향 진술, 강한 근거.",,,,없음 (필터 규칙이라 stage5 대상 아님). 데이터에서는 중증도 교란으로 양의 상관이 예상됨.,"FEWSHOT_CHECK §3: fs D-026(=raw D-028, p.18) 목록에 기계환기 포함. 단 그 목록은 '섬망'을 인자로 포함하고 억제대 문맥에 위치 → 섬망 위험인자 목록이 아닐 가능성 높음(추정)",미매핑 — procedureevents/ventilation derived(chk15_b_ventilation.csv),확인,승인,강한 근거 명시. fs D-026 은 다른 결과(억제대 사용)의 인자 목록으로 보여 실제 모순이 아닐 가능성 큼.,
R-21,본검수,OpioidUse,hasNoEffectOn,Delirium,둘 다,PADIS-N-02,없음,p.19 raw D-032,R-20 과 같은 문장. 아편유사제 사용은 섬망 위험을 바꾸지 않음(강한 근거).,strong,strong,Y,"명시적 무영향 진술, 강한 근거.",,,,없음,"FEWSHOT_CHECK §3: fs D-032(=raw D-035, p.19) Evidence Gap 서술이 아편유사제를 '알려진 위험인자'로 나열 · p.9 raw D-014 안전성 우려 결과에 섬망 포함",미매핑 — inputevents(fentanyl 등) 추출 필요,확인,승인,등급 있는 진술(strong) > 근거공백 서술. 충돌 정책 적용 전제로 승인.,
R-22,본검수,PatientSex,hasNoEffectOn,Delirium,둘 다,PADIS-N-03,없음,p.19 raw D-032,R-20 과 같은 문장. 성별은 섬망 위험을 바꾸지 않음(강한 근거).,strong,strong,Y,"명시적 무영향 진술, 강한 근거.",,,,없음 (is_male 은 모델 입력에만 있음),없음,가능 — patients.gender,확인,승인,"원문 확인, 방향·등급 일치.",
R-23,본검수,DeepSedation (RASS≤−4),precludes,DeliriumAssessment,둘 다,PADIS-G-01,"관계 일치. KG 는 evidenceLevel 없음, draft 는 'data-derived'. 목적어명 불일치: DeliriumAssessment / Assessable(concepts) / CurrentUTA(stage5)",가이드라인 문장 아님(draft 명시) · 보조: p.21 raw D-045 (fs D-042),D-045: 여러 연구에서 RASS −3 환자도 다수가 '평가 불가'로 분류되어 RASS 0~−2 범위만 분석 가능했음.,(없음),data-derived,부분,깊은 진정→평가 불가 방향은 D-045 가 뒷받침하나 등급 있는 진술이 아니며 CAM-ICU 도구 절차·데이터 관측에 기반.,"6,677",4.20,+32.5,방향 강하게 일치. 단 P(UTA|깊은진정)=42.6% 로 결정론적 '불가'는 아님(lookback vs 현재 시점 차이).,R-12 와 이중 역할(시점 분리 필요),가능 — 228096 + 228332(UTA),해당없음(비가이드라인),승인,구조적 가드로 타당. 논문에서 '가이드라인 외(도구 절차·데이터)'로 표기하고 soft 제약으로 사용.,
X-01,부록(두 소스 밖),SedationIntensity,increasesRiskOf,Delirium,padis_concepts.json · stage5 AXIOMS (두 소스엔 없음),,⚠ 검수 대상 두 파일 어디에도 없는데 모델 공리로 사용 중,p.14 raw D-017 (G-002),등급 밖 코호트 1건: 진정 강도가 섬망 위험을 용량-의존적으로 예측.,—,—,Y,문장이 방향을 직접 진술. 단 가이드라인 근거에 포함되지 않은 연구.,"15,202",2.39,+35.7,"방향 일치, 크기 큼. 각성 수준이 CAM-ICU 양성률을 올리는 측정 효과(D-048) 섞임. R-12 와 거의 같은 변수(RASS).",R-12 와 중복,가능 — 228096,확인,수정,"R-12 와 통합하거나 둘 중 하나만 유지하고, 출처 파일(KG/draft)에 등록할지 결정.",
X-02,부록(두 소스 밖),Delirium,increasesRiskOf,Immobility,padis_concepts.json (두 소스엔 없음),,⚠ concepts.json triples 에만 있음,찾지 못함,repo 의 PADIS 추출 문장에서 이 방향을 진술한 문장을 찾지 못함.,—,—,미검증,근거 문장 없음.,,,,없음,없음,부분 — mobility 값 기반,미검증,보류,출처 불명. 섬망 예측 공리도 아님.,
