review_priority,rule_id,source_page,source_text,auto_source_type,auto_subject,auto_relation,auto_object,auto_negation_present,relation_candidate,in_gold_set,review_decision,approved?,corrected_source_type,corrected_subject,corrected_relation,corrected_object,corrected_negation_present,kg_edge_candidate,mimic_availability,experiment_usable,reviewer_note,rejection_reason,padis_domain,source_section,patient_population,required_clinical_variables,confidence,review_status
medium,D-008,3,"Highlighting this evidence and the research needs will improve Pain, Agitation/sedation, Delirium, Immobility (mobilization/rehabilitation), and Sleep (disruption) management and provide the foundation for improved outcomes and science in this vulnerable population.",research_gap,Sedation,pending,Delirium,False,null_effect_or_gap (no directional relation),no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-016,14,"Light sedation was not associated with a reduction in the incidence of delirium (RR, 0.96; 95% CI, 0.80–1.16; low quality) (168, 172), PTSD (RR, 0.67; 95% CI, 0.12–3.79; low quality) (156, 174), depression (RR, 0.76; 95% CI, 0.10–5.58; very low qual- ity) (156, 170), or self-extubation (RR, 1.29; 95% CI, 0.58–2.88; low quality) (168–170, 173).",risk_factor_statement,Sedation,pending,Delirium,True,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-018,14,"Finally, as outlined elsewhere in these guidelines, the relationship between level of sedation and the ability to evaluate, pain, delirium, and sleep has not been fully elucidated.",research_gap,Sedation,pending,Delirium,True,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-021,16,"Five RCTs (n = 1,052) assessed duration of mechanical ventilation (167, 172, 202–204); three studies (n = 969) evaluated ICU LOS (167, 172, 203); and four RCTs (n = 1,007) evaluated delirium prevalence (167, 172, 203, 205).",evidence,MechanicalVentilation,pending,Delirium,False,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",0.5,pending
medium,D-024,16,"Of note, the MIDEX study (203), in which delirium was assessed only once 48 hours after sedation discontinuation, showed no improvements in delir - ium prevalence with dexmedetomidine.",evidence,DexmedetomidineExposure,pending,Delirium,True,"unknown_relation (subject=DexmedetomidineExposure, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",0.5,pending
medium,D-026,17,"The role of benzodiaz- epines versus propofol or dexmedetomidine in patients who are hemodynamically unstable, need deep sedation, are at risk for delirium, or have signs of alcohol withdrawal needs to be studied.",research_gap,PropofolExposure,pending,Delirium,False,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,propofol_exposure",0.5,pending
medium,D-029,18,"Delirium is a clinical diag- nosis; most studies detect delirium using screening tools such as the Confusion Assessment Method for the ICU (CAM-ICU) or the Intensive Care Delirium Screening Checklist (ICDSC) (274, 275).",evidence,CAM_ICU,pending,Delirium,False,"unknown_relation (subject=CAM_ICU, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-032,19,"Sex, opioid use, and mechanical ventilation each have been strongly shown not to alter the risk of delirium occurrence.",evidence,OpioidExposure,pending,Delirium,True,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,opioid_exposure",0.5,pending
medium,D-035,19,"The effect of a reduction in known delirium risk factors including comorbid diseases, sepsis, nicotine and alcohol abuse, and the use of opioids and systemic steroids on delirium burden and patient outcome is unknown.",research_gap,OpioidExposure,pending,Delirium,False,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,opioid_exposure",0.5,pending
medium,D-037,20,"Two (284, 285) found no relationship between delirium assessment and ICU LOS or duration of mechanical ventilation.",evidence,MechanicalVentilation,pending,Delirium,True,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",0.5,pending
medium,D-038,20,"In a crossover study, Reade et al (287) compared a period of CAM-ICU assessment to a period of unstructured nursing assessments using a form with a delirium definition.",evidence,CAM_ICU,pending,Delirium,False,"unknown_relation (subject=CAM_ICU, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-042,20,"Evidence Gaps: The current body of evidence in support of pain and agitation assessments, which has been studied longer than delirium, may provide some guidance for future research in delirium monitoring (19, 106, 110, 308–310).",research_gap,Agitation,pending,Delirium,False,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-043,20,"A recent observational study (311) found an association between high delirium monitoring adherence (i.e., assessments on ≥ 50% of the ICU days) and improved patient outcomes (i.e., lower in-hospital mortality, shorter ICU LOS, and shorter time on mechanical ventilation).",evidence,MechanicalVentilation,pending,Delirium,False,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",0.5,pending
medium,D-045,21,"Because many patients with RASS of –3 were deemed in these studies to be “unable to assess, ” data are limited to an evaluation of the influence of a RASS range from 0 to –2 on delirium positivity.",evidence,RASS,pending,Delirium,False,"unknown_relation (subject=RASS, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-046,21,These data do not allow for discrimination between delirium that is potentially sedation induced com- pared with that related to other pathologic alterations (with or without sedation).,research_gap,Sedation,pending,Delirium,True,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-048,21,"The likelihood of a positive delirium assessment was sig- nificantly greater (77% vs 23%; p < 0.0001) when patients had a RASS –2 (vs a RASS of –1 to 0), which could suggest that level of arousal influences delirium assessments.",evidence,RASS,pending,Delirium,False,"unknown_relation (subject=RASS, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-049,21,"Apart from the study by Patel et al (312) in which 12% of patients in whom delirium was present during sedative infusion resolved within 2 hours of stopping infusion, no other study informs the question of whether a positive delirium assessment as a result of concomitant sedation affects patient outcome or whether seda- tion merely represents a confounding issue for patient assess- ment.",research_gap,Sedation,pending,Delirium,True,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-050,21,"Rationale: One prospective observational study with blinded evaluations enrolled 102 patients (312) and found that out- comes (ICU and hospital LOS, discharge disposition, and 1-yr mortality) were similar between the 12 patients who developed rapidly reversible, sedation-related delirium and the 10 patients who never experienced delirium.",evidence,Sedation,pending,Delirium,True,"unknown_relation (subject=Sedation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-051,21,"Most patients (n = 80) who had either delirium or not always rapidly reversible delirium had worse outcomes than the patients with rapidly reversible, sedation-related delirium, or who never developed delirium.",evidence,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-057,22,"Three cohort studies suggest that when statin use is stopped during critical illness, delirium occurrence increases (371–373).",evidence,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-058,22,"One recent large RCT found that a single sub- anesthetic dose of ketamine, administered perioperatively, did not decrease delirium in older adults after major surgery, some of who required admission to the ICU (375).",evidence,Sedation,pending,Delirium,True,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-062,22,"Scheduled IV haloperidol 1 mg q6h, when com- pared with placebo in 60 mechanically ventilated adults, was not associated with a change in delirium incidence, duration, or time to first episode of delirium; days of mechanical ventila- tion; or ICU LOS in critically ill medical and surgical patients (377).",risk_factor_statement,Sedation,pending,Delirium,True,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-064,22,"Given these evidence gaps, questionable clinical benefit, and the potential lack of applicability of data from the study by Hakim et al (378) to the entire medical and surgical critically ill popula- tion having a greater severity of illness and different risk factors for delirium, the current recommendation reflects the panel’s concern about the risks of exposing up to 35% of all critically ill adults to antipsychotic therapy (379).",evidence,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-067,22,"A recent randomized trial of critically ill adults, not included in the evidence profile, found that high-dose simv- astatin does not reduce days spent with delirium and coma (385).",evidence,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-068,22,"No evidence was found to inform a recommendation regarding the use of an NMDA antagonist (e.g., ketamine) for delirium treatment.",evidence,Sedation,pending,Delirium,True,"unknown_relation (subject=Sedation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-069,22,"This evidence suggests that the use of the typical antipsy- chotic, haloperidol; an atypical antipsychotic (e.g., quetiapine, ziprasidone); or a statin was not associated with a shorter dura- tion of delirium, a reduced duration of mechanical ventilation",evidence,Sedation,pending,Delirium,True,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-073,23,"Rationale: The single RCT used to evaluate the role of dex- medetomidine as a treatment for agitation precluding ventilator liberation in patients with delirium screened 21,500 intubated patients from 15 ICUs to enroll the 71 study patients and was ter- minated early because the funding amount (from the manufac- turer of dexmedetomidine) had been used up (386).",evidence,DexmedetomidineExposure,pending,Delirium,False,"unknown_relation (subject=DexmedetomidineExposure, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",0.5,pending
medium,D-074,23,The role of dexmedetomidine in patients with delirium without agitation or who have agitation that is not preclud- ing ventilator liberation remains unclear.,no_recommendation,DexmedetomidineExposure,pending,Delirium,True,"unknown_relation (subject=DexmedetomidineExposure, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",0.5,pending
medium,D-075,23,Recommendations regarding choice of sedation in mechanically ventilated criti- cally ill adults in the context of delirium can be found in rec- ommendations about sedative choice.,evidence,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-080,28,"Evidence Gaps: Large, additional studies are required to define the influence of critical illness, delirium, and mechani- cal ventilation on sleep quality.",research_gap,MechanicalVentilation,pending,Delirium,False,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",0.5,pending
medium,D-083,29,"Variability in the presence to those factors (i.e., sedation, sep- sis, and delirium) known to influence abnormal sleep electro- encephalogram patterns likely accounts for the variability in prevalence among studies (438, 440, 457, 476).",evidence,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
