rule_id,padis_domain,source_page,source_section,source_text,patient_population,subject,relation,relation_candidate,object,recommendation_strength,evidence_quality,source_type,required_clinical_variables,mimic_availability,confidence,review_status,approved?,corrected_subject,corrected_relation,corrected_object,reviewer_note,experiment_usable,negation_present,rejection_reason
D-031,A-PADIS,19,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Benzodiazepine use and blood transfusion administration are the only two modifiable factors with strong evidence for an asso- ciation with delirium detected by screening tools (Supplemental T able 22, Supplemental Digital Content 30, http://links.lww.",Adult ICU,BenzodiazepineExposure,associatedWith,associatedWith (cue: association with delirium),Delirium,pending,pending,evidence,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",undecided,0.75,pending,,,,,,no,False,
D-039,A-PADIS,20,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),The CAM-ICU arm had a signifi- cantly lower proportion of nursing shifts with delirium and a shorter duration of delirium when compared with the period of unstructured assessments.,Adult ICU,CAM_ICU,decreasesRiskOf,decreasesRiskOf (cue: decrease/lower),Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.75,pending,,,,,,no,False,
D-041,A-PADIS,20,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"In the context of the criteria needed to generate a best prac- tice statement, we felt that the benefits of widespread delirium assessment with the CAM-ICU or the ICDSC far outweigh any potential disadvantages.",Adult ICU,CAM_ICU,pending,"unknown_relation (subject=CAM_ICU, object=Delirium)",Delirium,pending,pending,recommendation,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-052,A-PADIS,21,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Recommendation: We suggest not using haloperidol, an atypical antipsychotic, dexmedetomidine, a β-Hydroxy β-methylglutaryl-Coenzyme A (HMG-CoA) reductase inhibi- tor (i.e., statin), or ketamine to prevent delirium in all critically ill adults (conditional recommendation, very low to low qual- ity of evidence).",Adult ICU,DexmedetomidineExposure,pending,"unknown_relation (subject=DexmedetomidineExposure, object=Delirium)",Delirium,pending,pending,recommendation,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",undecided,0.5,pending,,,,,,no,True,
D-054,A-PADIS,21,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Each study reported a significant reduc- tion in delirium incidence favoring the pharmacologic agent: scheduled IV haloperidol (n = 457) after noncardiac surgery (RR, 0.66; 95% CI, 0.45–0.97; low quality) (366); a single dose of risperidone (n = 126) following elective cardiac surgery (RR, 0.35; 95% CI, 0.16–0.77; low quality) (366); and scheduled, low-dose dexmedetomidine (n = 700) after noncardiac surgery (odds ratio [OR], 0.35; 95% CI, 0.22–0.54; low quality) (368).",Adult ICU,DexmedetomidineExposure,decreasesRiskOf,decreasesRiskOf (cue: decrease/lower),Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",undecided,0.75,pending,,,,,,no,False,
D-056,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Another sug- gested that nocturnal administration of low-dose dexmedeto- midine in critically ill adults with APACHE-II scores of 22 (sd, ± 7.8) was associated with a significantly greater proportion of patients who remained delirium free (80% vs 54%; p = 0.008) during their ICU stay (370).",Adult ICU,DexmedetomidineExposure,associatedWith,associatedWith (cue: associated with),Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",undecided,0.75,pending,,,,,,no,False,
D-059,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Recommendation: We suggest not using haloperidol or an atypical antipsychotic to treat subsyndromal delirium in criti- cally ill adults (conditional recommendations, very low to low quality of evidence).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,recommendation,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-060,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Duration of subsyndromal delirium when evaluated using the CAM-ICU is an independent predictor of increased odds of institutionalization (376).,Adult ICU,CAM_ICU,increasesRiskOf,increasesRiskOf (cue: predicts risk),Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.75,pending,,,,,,no,False,
D-063,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Risperidone (0.5 mg every 8 hr), when compared with placebo in 101 cardiac surgery patients, was associated with a reduced likelihood for a transition from subsyndromal to full- syndrome delirium (RR, 0.41; 95% CI, 0.02–0.86) (378).",Adult ICU,Sedation,increasesRiskOf,increasesRiskOf (cue: comparative delirium outcome),Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.75,pending,,,,,,no,False,
D-065,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Recommendation: We suggest not routinely using halo- peridol, an atypical antipsychotic, or a HMG-CoA reductase inhibitor (i.e., a statin) to treat delirium (conditional recom- mendation, low quality of evidence).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,recommendation,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-071,A-PADIS,23,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Panel members judged that the undesirable consequences of using either haloperidol or an atypical antipsychotic far outweighed the potential benefits for most critically adults with delirium and thus issued a condi- tional recommendation against their routine use.,Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,recommendation,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-072,A-PADIS,23,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Recommendation: We suggest using dexmedetomidine for delirium in mechanically ventilated adults where agitation is precluding weaning/extubation (conditional recommenda- tion, low quality of evidence).",Adult ICU,DexmedetomidineExposure,pending,"unknown_relation (subject=DexmedetomidineExposure, object=Delirium)",Delirium,pending,pending,recommendation,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",undecided,0.5,pending,,,,,,no,False,
D-076,A-PADIS,24,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"When a revised and expanded ABCDEF bun- dle (which includes a focus on “F, ” Family engagement) was evaluated in a larger, multicenter, before-after, cohort study, and where delirium was also assessed using the CAM-ICU, an adjusted analysis showed that improvements in bundle com- pliance were significantly associated with reduced mortality and more ICU days without coma or delirium (9).",Adult ICU,CAM_ICU,decreasesRiskOf,decreasesRiskOf (cue: decrease/lower),Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.75,pending,,,,,,no,False,
D-078,A-PADIS,26,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"The influence of patient condi- tions (e.g., pre-ICU functional status, delirium and sedation status, muscle wasting, and nerve and muscle dysfunction) on patient outcomes after rehabilitation/mobilization interven- tions should be examined.",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,recommendation,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-007,A-PADIS,3,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Conclusions: We found substantial agreement among a large, inter- disciplinary cohort of international experts regarding evidence sup- porting recommendations, and the remaining literature gaps in the assessment, prevention, and treatment of Pain, Agitation/sedation, Delirium, Immobility (mobilization/rehabilitation), and Sleep (disrup- tion) in critically ill adults.",Adult ICU,Sedation,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,research_gap,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-008,A-PADIS,3,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Highlighting this evidence and the research needs will improve Pain, Agitation/sedation, Delirium, Immobility (mobilization/rehabilitation), and Sleep (disruption) management and provide the foundation for improved outcomes and science in this vulnerable population.",Adult ICU,Sedation,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,research_gap,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-016,A-PADIS,14,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Light sedation was not associated with a reduction in the incidence of delirium (RR, 0.96; 95% CI, 0.80–1.16; low quality) (168, 172), PTSD (RR, 0.67; 95% CI, 0.12–3.79; low quality) (156, 174), depression (RR, 0.76; 95% CI, 0.10–5.58; very low qual- ity) (156, 170), or self-extubation (RR, 1.29; 95% CI, 0.58–2.88; low quality) (168–170, 173).",Adult ICU,Sedation,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,risk_factor_statement,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-018,A-PADIS,14,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Finally, as outlined elsewhere in these guidelines, the relationship between level of sedation and the ability to evaluate, pain, delirium, and sleep has not been fully elucidated.",Adult ICU,Sedation,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,research_gap,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-021,A-PADIS,16,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Five RCTs (n = 1,052) assessed duration of mechanical ventilation (167, 172, 202–204); three studies (n = 969) evaluated ICU LOS (167, 172, 203); and four RCTs (n = 1,007) evaluated delirium prevalence (167, 172, 203, 205).",Adult ICU,MechanicalVentilation,pending,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",undecided,0.5,pending,,,,,,no,False,
D-024,A-PADIS,16,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Of note, the MIDEX study (203), in which delirium was assessed only once 48 hours after sedation discontinuation, showed no improvements in delir - ium prevalence with dexmedetomidine.",Adult ICU,DexmedetomidineExposure,pending,"unknown_relation (subject=DexmedetomidineExposure, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",undecided,0.5,pending,,,,,,no,True,
D-026,A-PADIS,17,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"The role of benzodiaz- epines versus propofol or dexmedetomidine in patients who are hemodynamically unstable, need deep sedation, are at risk for delirium, or have signs of alcohol withdrawal needs to be studied.",Adult ICU,PropofolExposure,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,research_gap,"CAM-ICU,RASS,delirium_assessment,propofol_exposure",undecided,0.5,pending,,,,,,no,False,
D-029,A-PADIS,18,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Delirium is a clinical diag- nosis; most studies detect delirium using screening tools such as the Confusion Assessment Method for the ICU (CAM-ICU) or the Intensive Care Delirium Screening Checklist (ICDSC) (274, 275).",Adult ICU,CAM_ICU,pending,"unknown_relation (subject=CAM_ICU, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-032,A-PADIS,19,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Sex, opioid use, and mechanical ventilation each have been strongly shown not to alter the risk of delirium occurrence.",Adult ICU,OpioidExposure,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment,opioid_exposure",undecided,0.5,pending,,,,,,no,True,
D-035,A-PADIS,19,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"The effect of a reduction in known delirium risk factors including comorbid diseases, sepsis, nicotine and alcohol abuse, and the use of opioids and systemic steroids on delirium burden and patient outcome is unknown.",Adult ICU,OpioidExposure,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,research_gap,"CAM-ICU,RASS,delirium_assessment,opioid_exposure",undecided,0.5,pending,,,,,,no,False,
D-037,A-PADIS,20,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Two (284, 285) found no relationship between delirium assessment and ICU LOS or duration of mechanical ventilation.",Adult ICU,MechanicalVentilation,pending,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",undecided,0.5,pending,,,,,,no,True,
D-038,A-PADIS,20,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"In a crossover study, Reade et al (287) compared a period of CAM-ICU assessment to a period of unstructured nursing assessments using a form with a delirium definition.",Adult ICU,CAM_ICU,pending,"unknown_relation (subject=CAM_ICU, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-042,A-PADIS,20,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Evidence Gaps: The current body of evidence in support of pain and agitation assessments, which has been studied longer than delirium, may provide some guidance for future research in delirium monitoring (19, 106, 110, 308–310).",Adult ICU,Agitation,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,research_gap,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-043,A-PADIS,20,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"A recent observational study (311) found an association between high delirium monitoring adherence (i.e., assessments on ≥ 50% of the ICU days) and improved patient outcomes (i.e., lower in-hospital mortality, shorter ICU LOS, and shorter time on mechanical ventilation).",Adult ICU,MechanicalVentilation,pending,"unknown_relation (subject=MechanicalVentilation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",undecided,0.5,pending,,,,,,no,False,
D-045,A-PADIS,21,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Because many patients with RASS of –3 were deemed in these studies to be “unable to assess, ” data are limited to an evaluation of the influence of a RASS range from 0 to –2 on delirium positivity.",Adult ICU,RASS,pending,"unknown_relation (subject=RASS, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-046,A-PADIS,21,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),These data do not allow for discrimination between delirium that is potentially sedation induced com- pared with that related to other pathologic alterations (with or without sedation).,Adult ICU,Sedation,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,research_gap,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-048,A-PADIS,21,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"The likelihood of a positive delirium assessment was sig- nificantly greater (77% vs 23%; p < 0.0001) when patients had a RASS –2 (vs a RASS of –1 to 0), which could suggest that level of arousal influences delirium assessments.",Adult ICU,RASS,pending,"unknown_relation (subject=RASS, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-049,A-PADIS,21,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Apart from the study by Patel et al (312) in which 12% of patients in whom delirium was present during sedative infusion resolved within 2 hours of stopping infusion, no other study informs the question of whether a positive delirium assessment as a result of concomitant sedation affects patient outcome or whether seda- tion merely represents a confounding issue for patient assess- ment.",Adult ICU,Sedation,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,research_gap,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-050,A-PADIS,21,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Rationale: One prospective observational study with blinded evaluations enrolled 102 patients (312) and found that out- comes (ICU and hospital LOS, discharge disposition, and 1-yr mortality) were similar between the 12 patients who developed rapidly reversible, sedation-related delirium and the 10 patients who never experienced delirium.",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-051,A-PADIS,21,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Most patients (n = 80) who had either delirium or not always rapidly reversible delirium had worse outcomes than the patients with rapidly reversible, sedation-related delirium, or who never developed delirium.",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-057,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Three cohort studies suggest that when statin use is stopped during critical illness, delirium occurrence increases (371–373).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-058,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"One recent large RCT found that a single sub- anesthetic dose of ketamine, administered perioperatively, did not decrease delirium in older adults after major surgery, some of who required admission to the ICU (375).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-062,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Scheduled IV haloperidol 1 mg q6h, when com- pared with placebo in 60 mechanically ventilated adults, was not associated with a change in delirium incidence, duration, or time to first episode of delirium; days of mechanical ventila- tion; or ICU LOS in critically ill medical and surgical patients (377).",Adult ICU,Sedation,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,risk_factor_statement,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-064,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Given these evidence gaps, questionable clinical benefit, and the potential lack of applicability of data from the study by Hakim et al (378) to the entire medical and surgical critically ill popula- tion having a greater severity of illness and different risk factors for delirium, the current recommendation reflects the panel’s concern about the risks of exposing up to 35% of all critically ill adults to antipsychotic therapy (379).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-067,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"A recent randomized trial of critically ill adults, not included in the evidence profile, found that high-dose simv- astatin does not reduce days spent with delirium and coma (385).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-068,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"No evidence was found to inform a recommendation regarding the use of an NMDA antagonist (e.g., ketamine) for delirium treatment.",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-069,A-PADIS,22,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"This evidence suggests that the use of the typical antipsy- chotic, haloperidol; an atypical antipsychotic (e.g., quetiapine, ziprasidone); or a statin was not associated with a shorter dura- tion of delirium, a reduced duration of mechanical ventilation",Adult ICU,Sedation,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,True,
D-073,A-PADIS,23,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Rationale: The single RCT used to evaluate the role of dex- medetomidine as a treatment for agitation precluding ventilator liberation in patients with delirium screened 21,500 intubated patients from 15 ICUs to enroll the 71 study patients and was ter- minated early because the funding amount (from the manufac- turer of dexmedetomidine) had been used up (386).",Adult ICU,DexmedetomidineExposure,pending,"unknown_relation (subject=DexmedetomidineExposure, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",undecided,0.5,pending,,,,,,no,False,
D-074,A-PADIS,23,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),The role of dexmedetomidine in patients with delirium without agitation or who have agitation that is not preclud- ing ventilator liberation remains unclear.,Adult ICU,DexmedetomidineExposure,pending,"unknown_relation (subject=DexmedetomidineExposure, object=Delirium)",Delirium,pending,pending,no_recommendation,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",undecided,0.5,pending,,,,,,no,True,
D-075,A-PADIS,23,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Recommendations regarding choice of sedation in mechanically ventilated criti- cally ill adults in the context of delirium can be found in rec- ommendations about sedative choice.,Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-080,A-PADIS,28,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Evidence Gaps: Large, additional studies are required to define the influence of critical illness, delirium, and mechani- cal ventilation on sleep quality.",Adult ICU,MechanicalVentilation,pending,null_effect_or_gap (no directional relation),Delirium,pending,pending,research_gap,"CAM-ICU,RASS,delirium_assessment,mechanical_ventilation",undecided,0.5,pending,,,,,,no,False,
D-083,A-PADIS,29,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Variability in the presence to those factors (i.e., sedation, sep- sis, and delirium) known to influence abnormal sleep electro- encephalogram patterns likely accounts for the variability in prevalence among studies (438, 440, 457, 476).",Adult ICU,Sedation,pending,"unknown_relation (subject=Sedation, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
D-084,A-PADIS,29,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Factors that have been shown to correlate with sleep disruption in univariate analyses include illness severity (494), delirium (442, 443), hypoxemia and alkalosis (494), receiving a benzodiazepine (442) or propo- fol (464), patient-ventilator asynchrony (454), spontaneous (vs mechanically supported) breathing (452), and a spontaneous mode of ventilation (vs a controlled mode) (472, 495).",Adult ICU,BenzodiazepineExposure,pending,"unknown_relation (subject=BenzodiazepineExposure, object=Delirium)",Delirium,pending,pending,evidence,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",undecided,0.5,pending,,,,,,no,False,
