row_id,subject,predicate,object,evidence,판정,이유,src
Q11,Sepsis,causedBy,Pneumonia,Acute hypoxemic respiratory failure can result from causes of sepsis such as pneumonia or non-pulmonary infections resulting in ARDS.,Y,폐렴을 패혈증의 원인으로 명시,oneshot_run1
Q12,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",Y,젖산 상승이 패혈증 진단 가능성과 연관됨을 명시,zeroshot_run2
Q13,Lactate,associatedWith,SepticShock,"Its use is currently recommended as part of the SSC Hour-1 sepsis bundle for those patients with sepsis [47, 48], and an elevated lactate is part of the Sepsis-3 definition of septic shock [49].",부분,젖산이 패혈성 쇼크 정의의 일부라는 정의적 연결일 뿐,zeroshot_run1
Q14,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈성 쇼크 환자가 사망 고위험이라고 직접 명시,fewshot_run1
Q15,Lactate,associatedWith,SepticShock,"Its use is currently recommended as part of the SSC Hour-1 sepsis bundle for those patients with sepsis [47, 48], and an elevated lactate is part of the Sepsis-3 definition of septic shock [49].",부분,젖산이 패혈성 쇼크 정의의 일부라는 정의적 연결일 뿐,fewshot_run1
Q16,Lactate,associatedWith,SepticShock,Recent definitions of septic shock include increases in lactate as evidence of cellular stress to accompany refractory hypotension [1].,부분,젖산 증가가 패혈성 쇼크 정의에 포함된다는 정의적 연결,oneshot_run2
Q17,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",Y,젖산 수치와 사망률의 연관을 직접 명시,oneshot_run2
Q18,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 명시,zeroshot_run2
Q19,Hypotension,associatedWith,SepticShock,Recent definitions of septic shock include increases in lactate as evidence of cellular stress to accompany refractory hypotension [1].,부분,저혈압이 패혈성 쇼크 정의에 포함된다는 정의적 연결,fewshot_run1
Q20,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 명시,zeroshot_run1
Q21,Sepsis,causedBy,Pneumonia,Acute hypoxemic respiratory failure can result from causes of sepsis such as pneumonia or non-pulmonary infections resulting in ARDS.,Y,폐렴을 패혈증의 원인으로 명시,fewshot_run1
Q22,HIV,associatedWith,Death,"Recent data emerging from Africa showed that higher volume fluid resuscitation in adults was associated with 1212 increased mortality, but the generalizability of these data is limited due to the high prevalence of HIV/AIDS and malnutrition in the patients enrolled and the resource-scarce conditions with limited access to ICUs [69].",N,수액량과 사망률 연관이며 HIV는 일반화 제한 요인으로 언급될 뿐,regex
Q23,Lactate,associatedWith,SepticShock,"Its use is currently recommended as part of the SSC Hour-1 sepsis bundle for those patients with sepsis [47, 48], and an elevated lactate is part of the Sepsis-3 definition of septic shock [49].",부분,젖산이 패혈성 쇼크 정의의 일부라는 정의적 연결일 뿐,zeroshot_run2
Q24,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈성 쇼크 환자가 사망 고위험이라고 직접 명시,oneshot_run1
Q25,Hypotension,associatedWith,SepticShock,Recent definitions of septic shock include increases in lactate as evidence of cellular stress to accompany refractory hypotension [1].,부분,저혈압이 패혈성 쇼크 정의에 포함된다는 정의적 연결,zeroshot_run1
Q26,SepticShock,associatedWith,Sepsis,"The mortality reduction associated with early antimi - crobials appears strongest in patients with septic shock, where a number of studies have reported a strong asso - ciation between time-to-antibiotics and death in patients with septic shock but weaker associations in patients 1187 without septic shock [98, 109, 110].",N,항생제 투여 시간과 사망의 연관이며 패혈성 쇼크와 패혈증 관계 진술 아님,regex
Q27,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 명시,regex
Q28,KidneyDisease,increasesRiskOf,Death,"Tonelli M, Manns B, Feller‑Kopman D (2002) Acute renal failure in the intensive care unit: a systematic review of the impact of dialytic modal‑ ity on mortality and renal recovery.",N,참고문헌 제목이며 투석 방식에 관한 것,regex
Q29,Age,increasesRiskOf,Death,"1 Recommendations on timing of antibiotic administration 1189 broad-spectrum regimens including agents active against MRSA were associated with higher mortality, particularly among patients without MRSA [137, 151, 155, 156].",N,광범위 항생제와 사망률 연관이며 나이에 대한 언급 없음,regex
Q30,SepticShock,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈성 쇼크가 3~6명 중 1명을 사망시킨다고 명시,fewshot_run1
Q31,MeanArterialPressure,increasesRiskOf,Death,Ninetyday mortality in the permissive hypotension and usual care groups was similar (41.0% vs 43.8%).,N,허용 저혈압 중재 비교에서 사망률 차이 없음,regex
Q32,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",Y,젖산 수치와 사망률의 연관을 직접 명시,fewshot_run1
Q33,Sepsis,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈증이 3~6명 중 1명을 사망시킨다고 명시,oneshot_run1
Q34,MeanArterialPressure,associatedWith,Death,"Delay in vasopressor initiation and achieving MAP of 65 is associated with increased mortality [390, 391].",N,승압제 시작 및 MAP 달성 지연이라는 치료 시기 효과이며 환자 특성 아님,zeroshot_run1
Q35,SepticShock,increasesRiskOf,Sepsis,"We recommend against using qSOFA compared to SIRS, NEWS, or MEWS as a single screening tool for sepsis or septic shock Strong recommendation, moderate-quality evidence Rationale The qSOFA uses 3 variables to predict death and pro - longed ICU stay in patients with known or suspected sepsis: a Glasgow Coma Score < 15, a respiratory rate ≥ 22 breaths/min and a systolic blood pressure ≤ 100 mmHg.",N,qSOFA 선별도구 설명으로 패혈성 쇼크가 패혈증 위험을 높인다는 진술 없음,regex
Q36,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",Y,젖산 수치와 사망률의 연관을 직접 명시,zeroshot_run1
Q37,Sepsis,increasesRiskOf,Death,"A large study examined the association between implementation of state-mandated sepsis protocols, compliance, and mortality.",N,프로토콜 시행 연구를 소개할 뿐 패혈증-사망 관계 진술 없음,regex
Q38,SepticShock,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈성 쇼크가 3~6명 중 1명을 사망시킨다고 명시,zeroshot_run1
Q39,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈증 환자가 사망 고위험이라고 직접 명시,oneshot_run1
Q40,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",Y,젖산 상승이 패혈증 진단 가능성과 연관됨을 명시,oneshot_run2
Q41,Pneumonia,increasesRiskOf,Death,"While there appears to be no overall effect of neu - raminidase inhibitors on mortality in patients with influ - enza-related pneumonia, there may be an effect when administered early in the course of the disease [225].",N,뉴라미니다아제 억제제 효과에 관한 문장으로 폐렴의 사망 위험 진술 없음,regex
Q42,Hypotension,associatedWith,SepticShock,Recent definitions of septic shock include increases in lactate as evidence of cellular stress to accompany refractory hypotension [1].,부분,저혈압이 패혈성 쇼크 정의에 포함된다는 정의적 연결,zeroshot_run2
Q43,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈증 환자가 사망 고위험이라고 직접 명시,oneshot_run2
Q44,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈성 쇼크 환자가 사망 고위험이라고 직접 명시,oneshot_run2
Q45,Lactate,associatedWith,SepticShock,"Its use is currently recommended as part of the SSC Hour-1 sepsis bundle for those patients with sepsis [47, 48], and an elevated lactate is part of the Sepsis-3 definition of septic shock [49].",부분,젖산이 패혈성 쇼크 정의의 일부라는 정의적 연결일 뿐,oneshot_run1
Q46,Sepsis,associatedWith,Death,"Delayed admissions of critically ill patients from ED are associated with decreased sepsis bundle compliance and increased mortality, ventilator duration, and ICU and hospital length of stay [84].",N,입원 지연과 사망률 연관이며 패혈증 자체와 사망 관계 아님,regex
Q47,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 명시,oneshot_run1
Q48,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈성 쇼크 환자가 사망 고위험이라고 직접 명시,zeroshot_run1
Q49,Sepsis,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈증이 3~6명 중 1명을 사망시킨다고 명시,zeroshot_run1
Q50,Sepsis,causedBy,Pneumonia,Acute hypoxemic respiratory failure can result from causes of sepsis such as pneumonia or non-pulmonary infections resulting in ARDS.,Y,폐렴을 패혈증의 원인으로 명시,zeroshot_run2
Q51,Sepsis,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈증이 3~6명 중 1명을 사망시킨다고 명시,fewshot_run1
Q52,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈증 환자가 사망 고위험이라고 직접 명시,zeroshot_run2
Q53,SepticShock,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈성 쇼크가 3~6명 중 1명을 사망시킨다고 명시,oneshot_run1
Q54,Lactate,increasesRiskOf,Death,"For adults suspected of having sepsis, we suggest measuring blood lactate Weak recommendation, low-quality evidence Rationale The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",부분,연관만 명시되어 위험 증가 방향성 주장은 과장,regex
Q55,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 명시,fewshot_run1
Q56,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈증 환자가 사망 고위험이라고 직접 명시,zeroshot_run1
Q57,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",Y,젖산 상승이 패혈증 진단 가능성과 연관됨을 명시,fewshot_run1
